DATE,DAUTONSA
2009-01-01,200.0
2009-02-01,217.5
2009-03-01,283.1
2009-04-01,279.4
2009-05-01,315.8
2009-06-01,295.9
2009-07-01,354.4
2009-08-01,469.3
2009-09-01,263.2
2009-10-01,281.4
2009-11-01,248.6
2009-12-01,349.8
2010-01-01,240.043
2010-02-01,272.668
2010-03-01,375.165
2010-04-01,343.517
2010-05-01,389.739
2010-06-01,335.316
2010-07-01,336.816
2010-08-01,319.06
2010-09-01,305.593
2010-10-01,279.713
2010-11-01,256.271
2010-12-01,337.598
2011-01-01,258.576
2011-02-01,338.615
2011-03-01,445.315
2011-04-01,405.418
2011-05-01,362.214
2011-06-01,348.95
2011-07-01,329.517
2011-08-01,340.459
2011-09-01,327.466
2011-10-01,321.021
2011-11-01,304.949
2011-12-01,363.464
2012-01-01,323.424
2012-02-01,430.209
2012-03-01,528.054
2012-04-01,431.834
2012-05-01,491.05
2012-06-01,459.854
2012-07-01,393.252
2012-08-01,452.837
2012-09-01,411.972
2012-10-01,369.82
2012-11-01,382.692
2012-12-01,444.846
2013-01-01,383.879
2013-02-01,446.362
2013-03-01,544.516
2013-04-01,466.742
2013-05-01,519.361
2013-06-01,499.66
2013-07-01,446.915
2013-08-01,516.827
2013-09-01,383.073
2013-10-01,398.003
2013-11-01,406.615
2013-12-01,421.205
2014-01-01,344.189
2014-02-01,409.921
2014-03-01,534.342
2014-04-01,470.222
2014-05-01,564.577
2014-06-01,499.801
2014-07-01,479.974
2014-08-01,556.87
2014-09-01,414.495
2014-10-01,430.949
2014-11-01,428.752
2014-12-01,475.786
2015-01-01,386.01
2015-02-01,419.495
2015-03-01,525.027
2015-04-01,477.314
2015-05-01,563.176
2015-06-01,491.397
2015-07-01,481.665
2015-08-01,496.815
2015-09-01,446.569
2015-10-01,447.743
2015-11-01,387.789
2015-12-01,472.123
2016-01-01,361.397
2016-02-01,427.27
2016-03-01,502.115
2016-04-01,447.76
2016-05-01,468.254
2016-06-01,452.263
2016-07-01,437.189
2016-08-01,433.38
2016-09-01,419.56
2016-10-01,377.266
2016-11-01,374.906
2016-12-01,444.215
2017-01-01,307.619
2017-02-01,368.826
2017-03-01,446.58
2017-04-01,411.024
2017-05-01,433.909
2017-06-01,399.619
2017-07-01,376.212
2017-08-01,394.215
2017-09-01,406.634
2017-10-01,345.309
2017-11-01,340.959
2017-12-01,362.059
2018-01-01,280.479
2018-02-01,328.988
2018-03-01,416.105
2018-04-01,326.924
2018-05-01,394.895
2018-06-01,372.417
2018-07-01,321.267
2018-08-01,338.095
2018-09-01,329.564
2018-10-01,329.158
2018-11-01,306.41
2018-12-01,342.587
2019-01-01,277.222
2019-02-01,284.48
2019-03-01,371.85
2019-04-01,295.181
2019-05-01,339.483
2019-06-01,322.074
2019-07-01,277.485
2019-08-01,322.237
2019-09-01,255.018
2019-10-01,254.679
2019-11-01,261.354
2019-12-01,282.86
